,id,cluster
529,529,9
530,530,7
531,531,1
532,532,1
533,533,0
534,534,10
535,535,9
536,536,6
537,537,0
538,538,9
539,539,0
540,540,1
541,541,9
542,542,8
543,543,7
544,544,7
545,545,0
546,546,0
547,547,8
548,548,6
549,549,9
550,550,0
551,551,9
552,552,9
553,553,4
554,554,11
555,555,0
556,556,4
557,557,0
558,558,11
559,559,9
560,560,4
561,561,9
562,562,9
563,563,4
564,564,6
565,565,1
566,566,6
567,567,1
568,568,1
569,569,6
570,570,7
571,571,7
572,572,1
573,573,4
574,574,6
575,575,0
576,576,0
577,577,6
578,578,1
579,579,11
580,580,9
581,581,4
582,582,0
583,583,9
584,584,0
585,585,7
586,586,9
587,587,1
588,588,1
589,589,1
590,590,6
591,591,0
592,592,1
593,593,8
594,594,10
595,595,7
596,596,9
597,597,4
598,598,7
599,599,1
600,600,0
601,601,1
602,602,0
603,603,1
604,604,10
605,605,10
606,606,0
607,607,6
608,608,4
609,609,0
610,610,9
611,611,7
612,612,4
613,613,6
614,614,6
615,615,11
616,616,4
617,617,1
618,618,1
619,619,10
620,620,0
621,621,11
622,622,6
623,623,10
624,624,8
625,625,6
626,626,9
627,627,6
628,628,9
629,629,4
630,630,1
631,631,4
632,632,6
633,633,9
634,634,6
635,635,9
636,636,9
637,637,0
638,638,0
639,639,1
640,640,9
641,641,6
642,642,0
643,643,8
644,644,1
645,645,11
646,646,0
647,647,0
648,648,9
649,649,7
650,650,9
651,651,7
652,652,9
653,653,1
654,654,8
655,655,4
656,656,0
657,657,0
658,658,1
659,659,1
660,660,0
661,661,0
662,662,9
663,663,0
664,664,0
665,665,9
666,666,3
667,667,9
668,668,7
669,669,1
670,670,11
671,671,0
672,672,8
673,673,8
674,674,9
675,675,1
676,676,9
677,677,6
678,678,6
679,679,10
680,680,9
681,681,0
682,682,7
683,683,9
684,684,8
685,685,9
686,686,8
687,687,4
688,688,0
689,689,7
690,690,9
691,691,8
692,692,1
693,693,4
694,694,9
695,695,11
696,696,10
697,697,6
698,698,0
699,699,9
700,700,5
701,701,6
702,702,6
703,703,6
704,704,0
705,705,9
706,706,0
707,707,3
708,708,4
709,709,3
710,710,10
711,711,9
712,712,3
713,713,1
714,714,9
715,715,9
716,716,11
717,717,11
718,718,8
719,719,1
720,720,4
721,721,9
722,722,2
723,723,9
724,724,1
725,725,0
726,726,0
727,727,7
728,728,9
729,729,10
730,730,9
731,731,1
732,732,1
733,733,1
734,734,8
735,735,0
736,736,10
737,737,6
738,738,10
739,739,8
740,740,8
741,741,3
742,742,0
743,743,8
744,744,10
745,745,2
746,746,6
747,747,8
748,748,8
749,749,0
750,750,1
751,751,7
752,752,8
753,753,7
754,754,0
755,755,7
756,756,8
757,757,1
758,758,9
759,759,0
760,760,0
761,761,6
762,762,0
763,763,7
764,764,9
765,765,0
766,766,3
767,767,9
768,768,1
769,769,8
770,770,9
771,771,1
772,772,6
773,773,9
774,774,9
775,775,1
776,776,9
777,777,9
778,778,8
779,779,0
780,780,0
781,781,1
782,782,1
783,783,7
784,784,11
785,785,9
786,786,4
787,787,1
788,788,9
789,789,9
790,790,7
791,791,9
792,792,0
793,793,9
794,794,9
795,795,10
796,796,6
797,797,6
798,798,1
799,799,10
800,800,0
801,801,5
802,802,0
803,803,6
804,804,8
805,805,1
806,806,10
807,807,9
808,808,1
809,809,7
810,810,9
811,811,4
812,812,1
813,813,7
814,814,6
815,815,9
816,816,0
817,817,8
818,818,0
819,819,1
820,820,9
821,821,6
822,822,6
823,823,10
824,824,9
825,825,6
826,826,9
827,827,9
828,828,1
829,829,8
830,830,7
831,831,3
832,832,4
833,833,10
834,834,7
835,835,0
836,836,1
837,837,0
838,838,2
839,839,9
840,840,1
841,841,1
842,842,8
843,843,9
844,844,11
845,845,2
846,846,6
847,847,6
848,848,1
849,849,0
850,850,0
851,851,1
852,852,4
853,853,10
854,854,9
855,855,5
856,856,8
857,857,4
858,858,3
859,859,8
860,860,8
861,861,1
862,862,6
863,863,2
864,864,7
865,865,6
866,866,9
867,867,0
868,868,1
869,869,6
870,870,7
871,871,0
872,872,8
873,873,9
874,874,0
875,875,1
876,876,9
877,877,3
878,878,4
879,879,0
880,880,0
881,881,7
882,882,9
883,883,0
884,884,1
885,885,8
886,886,5
887,887,3
888,888,1
889,889,1
890,890,9
891,891,5
892,892,8
893,893,4
894,894,9
895,895,1
896,896,7
897,897,0
898,898,4
899,899,6
900,900,1
901,901,9
902,902,7
903,903,0
904,904,7
905,905,9
906,906,9
